year,area,age,f
1966,3,16,0.13584027
1966,3,17,0.12610772
1966,3,18,0.10966169
1966,3,19,0.09225328
1966,3,20,0.07674118
1966,3,21,0.06400701
1966,3,22,0.053976482
1966,3,23,0.046231862
1966,3,24,0.040301482
1966,3,25,0.035769316
1966,3,26,0.032302127
1966,3,27,0.029644415
1966,3,28,0.027603962
1966,3,29,0.026037027
1966,3,30,0.024835921
1966,3,31,0.023919464
1966,3,32,0.023225913
1966,3,33,0.022707836
1966,3,34,0.022328404
1966,3,35,0.022058748
1966,3,36,0.02187601
1966,3,37,0.021761963
1966,3,38,0.021761963
1966,3,39,0.021761963
1966,3,40,0.021761963
1967,3,1,5.8060756246e-07
1967,3,2,1.98838806246e-06
1967,3,3,0.00025591987
1967,3,4,0.0005422831
1967,3,5,0.0019188384
1967,3,6,0.0058515021
1967,3,7,0.010829653
1967,3,8,0.015019589
1967,3,9,0.019151406
1967,3,10,0.025379894
1967,3,11,0.036205084
1967,3,12,0.051680618
1967,3,13,0.069690909
1967,3,14,0.08617474
1967,3,15,0.09659332
1967,3,16,0.09816456
1967,3,17,0.0911542
1967,3,18,0.07928185
1967,3,19,0.066705957
1967,3,20,0.05549581
1967,3,21,0.046291039
1967,3,22,0.039039397
1967,3,23,0.033439726
1967,3,24,0.029151449
1967,3,25,0.025874027
1967,3,26,0.023366623
1967,3,27,0.021444548
1967,3,28,0.019968841
1967,3,29,0.018835573
1967,3,30,0.017966878
1967,3,31,0.017304048
1967,3,32,0.01680243
1967,3,33,0.016427722
1967,3,34,0.016153289
1967,3,35,0.015958253
1967,3,36,0.015826084
1967,3,37,0.015743595
1967,3,38,0.015743595
1967,3,39,0.015743595
1967,3,40,0.015743595
1968,3,1,1.38963006777e-05
1968,3,2,7.55496306777e-05
1968,3,3,0.00070149979
1968,3,4,0.0010647405
1968,3,5,0.0023764414
1968,3,6,0.006451815
1968,3,7,0.011712311
1968,3,8,0.016157314
1968,3,9,0.02053491
1968,3,10,0.027124675
1968,3,11,0.038561132
1968,3,12,0.054868109
1968,3,13,0.07378755
1968,3,14,0.09103925
1968,3,15,0.10187097
1968,3,16,0.10339326
1968,3,17,0.09591581
1968,3,18,0.08336289
1968,3,19,0.07010242
1968,3,20,0.05829906
1968,3,21,0.048615962
1968,3,22,0.040992177
1968,3,23,0.035107731
1968,3,24,0.030602784
1968,3,25,0.027160536
1968,3,26,0.024527497
1968,3,27,0.022509414
1968,3,28,0.020960184
1968,3,29,0.019770574
1968,3,30,0.018858768
1968,3,31,0.018163088
1968,3,32,0.017636631
1968,3,33,0.017243379
1968,3,34,0.016955375
1968,3,35,0.016750696
1968,3,36,0.016611993
1968,3,37,0.016525428
1968,3,38,0.016525428
1968,3,39,0.016525428
1968,3,40,0.016525428
1969,3,1,1.02201144708e-06
1969,3,2,5.96972244708e-06
1969,3,3,0.00037740566
1969,3,4,0.00072868729
1969,3,5,0.0026587484
1969,3,6,0.0081426308
1969,3,7,0.014939329
1969,3,8,0.020583023
1969,3,9,0.026209035
1969,3,10,0.034860768
1969,3,11,0.050073303
1969,3,12,0.072026347
1969,3,13,0.09780932
1969,3,14,0.12164903
1969,3,15,0.13698375
1969,3,16,0.13970467
1969,3,17,0.13007737
1969,3,18,0.11336628
1969,3,19,0.09553062
1969,3,20,0.079568828
1969,3,21,0.066429844
1969,3,22,0.056061238
1969,3,23,0.048044985
1969,3,24,0.041900586
1969,3,25,0.037201423
1969,3,26,0.033604472
1969,3,27,0.030846112
1969,3,28,0.028727672
1969,3,29,0.027100428
1969,3,30,0.025852844
1969,3,31,0.024900772
1969,3,32,0.024180181
1969,3,33,0.023641853
1969,3,34,0.023247563
1969,3,35,0.022967329
1969,3,36,0.022777417
1969,3,37,0.022658889
1969,3,38,0.022658889
1969,3,39,0.022658889
1969,3,40,0.022658889
1970,3,1,2.259867005019e-06
1970,3,2,1.3200888005019e-05
1970,3,3,0.00025845913
1970,3,4,0.00043949733
1970,3,5,0.0014548309
1970,3,6,0.0044096688
1970,3,7,0.008105621
1970,3,8,0.011188617
1970,3,9,0.014245608
1970,3,10,0.018908666
1970,3,11,0.027069683
1970,3,12,0.038799306
1970,3,13,0.052519977
1970,3,14,0.065149252
1970,3,15,0.07321009
1970,3,16,0.07454574
1970,3,17,0.069324897
1970,3,18,0.060363654
1970,3,19,0.050831948
1970,3,20,0.042316892
1970,3,21,0.035315529
1970,3,22,0.02979462
1970,3,23,0.025528573
1970,3,24,0.02225998
1970,3,25,0.019760934
1970,3,26,0.017848485
1970,3,27,0.016382157
1970,3,28,0.015256165
1970,3,29,0.014391344
1970,3,30,0.013728353
1970,3,31,0.013222434
1970,3,32,0.012839543
1970,3,33,0.012553507
1970,3,34,0.012344012
1970,3,35,0.01219512
1970,3,36,0.01209422
1970,3,37,0.012031246
1970,3,38,0.012031246
1970,3,39,0.012031246
1970,3,40,0.012031246
1971,3,1,2.902017127747e-05
1971,3,2,0.00016952212327747
1971,3,3,0.00122365062
1971,3,4,0.0013768465
1971,3,5,0.0025224986
1971,3,6,0.006750297
1971,3,7,0.012255542
1971,3,8,0.016899125
1971,3,9,0.021415691
1971,3,10,0.02813982
1971,3,11,0.03973749
1971,3,12,0.056160041
1971,3,13,0.07506724
1971,3,14,0.09214997
1971,3,15,0.10269761
1971,3,16,0.10390442
1971,3,17,0.09615696
1971,3,18,0.083419
1971,3,19,0.07005286
1971,3,20,0.058197885
1971,3,21,0.048494488
1971,3,22,0.040866592
1971,3,23,0.034985504
1971,3,24,0.030486759
1971,3,25,0.027051253
1971,3,26,0.024424535
1971,3,27,0.022412014
1971,3,28,0.020867466
1971,3,29,0.01968169
1971,3,30,0.018772956
1971,3,31,0.018079702
1971,3,32,0.017555134
1971,3,33,0.017163327
1971,3,34,0.016876398
1971,3,35,0.016672493
