year,area,stage,f
2023,all,adult,0.206116154937719
2024,all,adult,0.347288002298952
1952,1,juvenile,0.0263083906707241
1953,1,juvenile,0.0223318076144978
1954,1,juvenile,0.0176385039371039
1955,1,juvenile,0.026423244673351
1956,1,juvenile,0.0348161283689445
1957,1,juvenile,0.0428920011432933
1958,1,juvenile,0.0548722034681971
1959,1,juvenile,0.0452852033030749
1960,1,juvenile,0.0489771730659367
1961,1,juvenile,0.0349286395752351
1962,1,juvenile,0.0344215648273578
1963,1,juvenile,0.045453842014946
1964,1,juvenile,0.0323391748712644
1965,1,juvenile,0.0259657067091592
1966,1,juvenile,0.02883816900298
1967,1,juvenile,0.0435943517712268
1968,1,juvenile,0.0328012772074617
1969,1,juvenile,0.0454700972884801
1970,1,juvenile,0.0503393691106302
1971,1,juvenile,0.0441730373954995
1972,1,juvenile,0.041528495026774
1973,1,juvenile,0.0414255304772664
1974,1,juvenile,0.0525097861469354
1975,1,juvenile,0.0636885472641049
1976,1,juvenile,0.0785743242104575
1977,1,juvenile,0.0801090710602297
1978,1,juvenile,0.0822129812966742
1979,1,juvenile,0.0776732191767922
1980,1,juvenile,0.0711286762087034
1981,1,juvenile,0.0844825329392655
1982,1,juvenile,0.0861408808836708
1983,1,juvenile,0.078543681668271
1984,1,juvenile,0.081334623967668
1985,1,juvenile,0.0992018732815686
1986,1,juvenile,0.0936158286234218
1987,1,juvenile,0.114443156319798
1988,1,juvenile,0.132962845012702
1989,1,juvenile,0.123525291796947
1990,1,juvenile,0.107716028700682
1991,1,juvenile,0.106792337115319
1992,1,juvenile,0.10722913318039
1993,1,juvenile,0.138742504994854
1994,1,juvenile,0.13104614534439
1995,1,juvenile,0.168829444930396
1996,1,juvenile,0.135573255147686
1997,1,juvenile,0.141718398386478
1998,1,juvenile,0.122223565383048
1999,1,juvenile,0.140070857820561
2000,1,juvenile,0.133699897145693
2001,1,juvenile,0.0936861229375254
2002,1,juvenile,0.116945882257236
2003,1,juvenile,0.132929366086405
2004,1,juvenile,0.17349547918777
2005,1,juvenile,0.137558286254591
2006,1,juvenile,0.200914549393173
2007,1,juvenile,0.176792558039799
2008,1,juvenile,0.158992574366795
2009,1,juvenile,0.12720832630043
2010,1,juvenile,0.117693989814965
2011,1,juvenile,0.148527068549164
2012,1,juvenile,0.148408874471973
2013,1,juvenile,0.110844571616354
2014,1,juvenile,0.113815705352811
